month,ae_type_1,ae_type_2,ae_type_3,emergency_admissions_via_type_1,emergency_admissions_via_type_2,emergency_admissions_via_type_3_and_4,other_emergency_admissions,four_hour_breaches,twelve_hour_breaches
01/08/2010,1138652,54371,559358,287438,5367,8081,124816,3697,1
01/09/2010,1150728,55181,550359,293991,5543,3673,121693,5907,    
01/10/2010,1163143,54961,583244,303452,5485,2560,124718,6932,    
01/11/2010,1111295,53727,486005,297832,5731,3279,122257,7179,2
01/12/2010,1159204,45536,533001,318602,6277,3198,124651,13818,15
01/01/2011,1133881,51585,542331,308368,5567,3626,124442,13162,17
01/02/2011,1053707,51249,494408,276646,1678,2801,120081,7872,3
01/03/2011,1225222,57900,580319,308390,2264,3822,132370,8602,1
01/04/2011,1197213,54042,593120,295580,2939,3067,117657,7531,6
01/05/2011,1221687,57067,594941,299961,2982,2786,121548,7309,3
01/06/2011,1168468,54739,562210,290244,2839,2596,117643,7060,10
01/07/2011,1211066,56204,597690,299077,3494,2593,120633,5645,6
01/08/2011,1135801,51890,570417,289884,2844,3225,114602,4990,1
01/09/2011,1162143,52329,566738,291050,3171,3074,113466,7460,9
01/10/2011,1200708,54447,593757,305952,2177,4082,122869,9078,42
01/11/2011,1134959,51772,554709,296726,2987,4475,120699,8941,28
01/12/2011,1141606,47961,542479,313714,3073,4231,120638,10946,4
01/01/2012,1137916,51607,547995,307651,3174,4423,120951,14147,8
01/02/2012,1120423,51156,532653,296577,3060,4261,116655,15698,6
01/03/2012,1263082,58574,611496,319223,3366,3476,128331,10199,1
01/04/2012,1149634,51689,568200,302599,2687,2420,116424,10132,    
01/05/2012,1251414,56417,621739,316001,2748,2383,122745,8681,    
01/06/2012,1222084,53957,611800,306005,2613,2388,115000,8409,2
01/07/2012,1248953,55392,620178,316143,2751,2384,123676,7265,1
01/08/2012,1197384,52905,594854,305791,2516,2373,114492,7128,2
01/09/2012,1178361,51526,558604,303417,2546,2279,113536,9022,2
01/10/2012,1214433,53423,564448,317919,2652,2439,123292,11089,    
01/11/2012,1167908,51805,535892,309441,2798,2251,120819,11561,1
01/12/2012,1202080,47553,572792,326829,1288,2424,120640,16505,14
01/01/2013,1149837,49518,533763,316171,1067,2311,117662,19709,50
01/02/2013,1085333,48970,514445,290544,1130,2222,111055,18974,17
01/03/2013,1226196,54219,584669,326673,1336,2441,123188,24395,81
01/04/2013,1199089,54306,578025,309033,1252,2379,116581,23485,43
01/05/2013,1229747,54729,607194,316072,1317,2376,117934,9652,    
01/06/2013,1191352,54589,585094,304051,1219,2318,115610,8382,7
01/07/2013,1281700,55536,639053,318790,1399,2280,121381,9303,3
01/08/2013,1189671,53239,597681,309887,1298,2262,113461,10439,2
01/09/2013,1156569,52312,559868,307638,1298,2145,116697,13383,9
01/10/2013,1199259,52705,577465,322015,1332,2275,124010,13852,21
01/11/2013,1139112,50631,543294,315374,1391,2161,122698,11904,7
01/12/2013,1172011,47809,562209,333324,1491,2655,124948,15115,21
01/01/2014,1142284,51060,546196,328887,1240,2436,124825,19001,42
01/02/2014,1084744,47705,529366,302575,1163,2247,114503,19236,77
01/03/2014,1269436,55798,632107,336284,1346,2361,127860,15130,10
01/04/2014,1213066,52034,612576,326337,1319,2415,118611,15829,23
01/05/2014,1287333,54446,636250,339253,1231,2677,122910,17822,10
01/06/2014,1265211,54997,622060,327065,1251,2548,119953,14724,8
01/07/2014,1302588,55793,635250,334823,1329,2513,124457,16616,5
01/08/2014,1188147,53051,576112,321638,1233,2405,116481,15736,8
01/09/2014,1221782,52195,579309,323733,1245,2414,118734,19611,28
01/10/2014,1250114,54428,587832,339833,1572,2584,125280,24941,55
01/11/2014,1205519,52329,572612,331924,1799,3355,127264,25664,35
01/12/2014,1241895,47660,611673,353472,1807,3731,125350,45982,186
01/01/2015,1124040,50900,557126,333669,1400,3389,124942,44903,650
01/02/2015,1072452,48157,534238,306651,1287,2915,113782,33137,184
01/03/2015,1251325,56383,635259,340682,1603,4359,128296,30768,54
01/04/2015,1206631,52366,614171,326807,1434,4126,117887,27996,58
01/05/2015,1254445,54809,628214,339572,1485,4315,123043,23524,46
01/06/2015,1249213,53398,608598,328757,1139,4085,124809,19065,25
01/07/2015,1271523,53417,627955,338445,1393,4203,129873,17275,22
01/08/2015,1215826,49458,599855,331841,1225,4063,118303,20030,28
01/09/2015,1221594,50868,587517,332984,1250,3847,126114,25883,23
01/10/2015,1261395,50275,611438,345833,1041,4308,128805,31582,58
01/11/2015,1236294,48306,589635,340241,1037,3630,130656,34170,29
01/12/2015,1232965,46148,588539,353112,1098,3921,129667,32939,29
01/01/2016,1250005,47208,609707,353778,1114,4076,125865,51571,158
01/02/2016,1218372,48387,604017,333519,1047,3784,124514,50066,188
01/03/2016,1350373,49906,687274,357724,1125,4466,130761,53640,349
01/04/2016,1214057,50359,603365,333458,1079,3676,121996,38632,196
01/05/2016,1353206,52180,664954,359307,1108,3965,128811,38203,107
01/06/2016,1282499,52180,624123,346030,1087,3843,129250,35300,84
01/07/2016,1353477,52961,672596,356986,1100,3693,128442,37466,113
01/08/2016,1254439,52404,626058,342617,1186,3882,122869,34253,57
01/09/2016,1277578,52521,622365,345085,1226,3841,125656,35694,86
01/10/2016,1317571,51020,633225,357874,1160,4275,129674,48816,252
01/11/2016,1258205,49979,599687,351285,1166,4095,132780,52988,457
01/12/2016,1277133,45569,621865,366086,1078,3384,127367,61729,553
01/01/2017,1237177,48039,610056,358045,1186,3709,129333,79551,989
01/02/2017,1127909,45733,561977,322294,1029,3338,121027,54491,338
01/03/2017,1309507,53355,652972,365117,1165,3821,139702,42970,270
01/04/2017,1253743,47550,648469,347805,1124,3636,118763,33923,143
01/05/2017,1347297,51037,668455,369644,1186,3640,131373,40296,115
01/06/2017,1296877,50612,646567,356052,1243,3898,130013,34476,55
01/07/2017,1348648,50369,674927,365685,1164,3658,128752,37258,74
01/08/2017,1256655,47912,620096,356405,1176,3404,125089,37164,50
01/09/2017,1263957,47250,614754,356160,1177,3661,125801,42157,77
01/10/2017,1325211,50198,668728,373673,1204,3934,134406,45500,57
01/11/2017,1281913,48223,646835,372551,1243,3876,135349,48623,107
01/12/2017,1289587,42158,672209,387919,1150,4467,127267,69086,517
01/01/2018,1257026,49987,693073,383879,1214,4634,136318,81231,1054
01/02/2018,1151757,41902,626353,347470,1087,4145,124165,68712,369
01/03/2018,1299796,46655,703334,385196,1283,4523,135064,76233,853
01/04/2018,1246348,47256,690765,370142,1418,4290,127543,48004,356
01/05/2018,1354711,49219,760528,392433,1508,4762,134754,39236,106
01/06/2018,1306739,49635,737568,376782,1646,4506,130320,33750,99
01/07/2018,1365859,49846,764191,390294,1523,4908,133207,42823,149
01/08/2018,1252767,49117,695970,382863,1508,4703,128225,40214,162
01/09/2018,1269088,47622,688985,379951,1389,4635,124347,44582,154
01/10/2018,1320032,51282,708178,398478,1703,4913,140928,49014,214
01/11/2018,1305353,48465,684029,397128,1698,4690,141841,54373,259
01/12/2018,1307359,43072,697087,407286,1565,4781,131271,59805,284
01/01/2019,1344354,47616,721443,414698,1680,5095,142562,83554,627
01/02/2019,1234328,44183,676436,370476,1645,5381,128220,70815,521
01/03/2019,1373061,50490,744000,409617,1730,4617,139493,59510,331
01/04/2019,1330825,49281,732059,398802,1787,4850,129787,66933,442
01/05/2019,1369332,50642,752032,406065,2145,4631,134541,61507,416
01/06/2019,1334137,49233,724617,392446,1528,4696,130131,57671,462
01/07/2019,1415918,52418,796714,408752,1840,5101,138376,58532,452
01/08/2019,1324070,48786,752579,393710,1366,4877,129278,56498,371
01/09/2019,1342510,48217,732618,391228,1363,7133,130179,64924,458
01/10/2019,1376347,50391,744147,412649,1810,6647,142027,80091,725
01/11/2019,1366383,47179,729943,408116,1736,6607,143097,88922,1111
01/12/2019,1373654,43458,763425,416017,3570,5047,136161,98461,2356
01/01/2020,1327234,49597,737878,408501,1729,6311,142517,100579,2847
01/02/2020,1237255,45124,687312,374612,3231,4434,128534,78646,1621
01/03/2020,1013021,32747,486033,319392,1394,5047,102135,51790,1174
01/04/2020,689720,19726,207129,252680,960,4288,68653,15720,251
01/05/2020,924218,26479,311140,308798,1165,2756,85687,13457,93
01/06/2020,1016132,30894,363576,332910,1344,3455,99892,17881,159
01/07/2020,1120421,32759,435106,358671,1340,3372,109843,21025,271
01/08/2020,1179019,32231,507753,365503,1217,3488,104017,32159,335
01/09/2020,1163948,33295,496637,365705,1208,3682,109260,44996,346
01/10/2020,1111958,33012,454377,367175,1270,3514,109887,66794,1268
01/11/2020,1036350,31872,416954,343989,1155,3533,105239,71041,2148
01/12/2020,1039474,29838,405362,351824,1146,3535,103755,89927,3745
01/01/2021,941194,25744,343868,343534,1085,3426,97555,95695,3825
01/02/2021,903771,27972,346348,318460,1101,3485,99378,57152,1021
01/03/2021,1161079,35656,494547,375926,1391,5605,121004,50972,688
01/04/2021,1259266,35363,571603,385748,1261,5267,117986,48719,526
01/05/2021,1396116,38747,640679,411470,1403,5593,125499,57308,695
01/06/2021,1436111,39162,681859,401052,1444,5423,127483,66621,1289
01/07/2021,1430733,39313,690082,402085,1323,7160,122144,89762,2208
01/08/2021,1341757,39864,654346,381911,1325,5555,115095,96008,2787
01/09/2021,1392405,40503,694296,379118,1296,5309,121363,104873,5024
01/10/2021,1419010,39701,706091,389169,1176,5363,121475,121250,7058
01/11/2021,1336830,39025,662100,374964,1246,5298,124734,120744,10646
01/12/2021,1250568,34913,589161,370950,1881,7133,119091,120131,12859
01/01/2022,1247417,36557,591228,358968,1204,5320,119460,122433,16564
01/02/2022,1205820,37970,581573,334835,1087,5275,118755,114908,16402
01/03/2022,1421526,41910,711362,374562,1258,5728,132707,136298,22506
01/04/2022,1312380,37898,678518,364997,1156,5793,119848,131604,24179
01/05/2022,1437421,41874,753758,377496,1276,6015,132924,125318,19657
01/06/2022,1400664,40910,750117,366684,1265,5979,129120,130357,22017
01/07/2022,1397083,39632,744940,362027,1198,6144,127730,135819,29139
01/08/2022,1299083,40802,655794,350562,1307,5219,124921,130148,28690
01/09/2022,1301611,40188,666690,353779,1325,5653,126720,131572,32762
01/10/2022,1399185,41440,747403,367028,1411,6302,132106,150786,43793
01/11/2022,1395183,42644,740977,368997,1558,6271,138699,143672,37853
01/12/2022,1437681,36592,819806,378202,1359,6171,131712,170121,54573
01/01/2023,1243898,42076,682364,364353,1464,5386,137576,142210,42767
01/02/2023,1206386,41717,666176,339726,1403,4993,126734,126947,34975
01/03/2023,1372403,46803,746745,381708,1461,5198,143724,144308,39687
01/04/2023,1271145,42632,716211,363584,1340,5150,120713,113144,26606
01/05/2023,1400815,45826,794708,388202,1338,5548,134441,122503,31574
01/06/2023,1389009,46196,785749,381815,1403,4754,135259,113840,26537
01/07/2023,1379854,45513,769533,391312,1383,7719,134752,109519,23938
01/08/2023,1323647,43923,738580,384233,1403,4206,134610,120115,28863
01/09/2023,1369045,42631,754065,383234,1325,4372,133102,125787,33059
01/10/2023,1413560,44769,761289,401523,1431,4386,140246,144926,44655
01/11/2023,1385701,42365,734056,396755,1452,4319,143110,146272,42854
01/12/2023,1383876,39282,756074,406833,1327,4164,134787,148282,44045
01/01/2024,1397645,42835,784555,403210,1399,4561,147088,158721,54308
01/02/2024,1347297,43868,761196,382133,1465,4231,139515,139458,44417
01/03/2024,1462477,48922,840714,419826,1515,4614,141219,140181,42968
